driverid,code,givenname,familyname,dateofbirth,nationality,url
abate,NaN,Carlo,Abate,1932-07-10,Italian,http://en.wikipedia.org/wiki/Carlo_Mario_Abate
abecassis,NaN,George,Abecassis,1913-03-21,British,http://en.wikipedia.org/wiki/George_Abecassis
acheson,NaN,Kenny,Acheson,1957-11-27,British,http://en.wikipedia.org/wiki/Kenny_Acheson
adams,NaN,Philippe,Adams,1969-11-19,Belgian,http://en.wikipedia.org/wiki/Philippe_Adams
ader,NaN,Walt,Ader,1913-12-15,American,http://en.wikipedia.org/wiki/Walt_Ader
adolff,NaN,Kurt,Adolff,1921-11-05,German,http://en.wikipedia.org/wiki/Kurt_Adolff
agabashian,NaN,Fred,Agabashian,1913-08-21,American,http://en.wikipedia.org/wiki/Fred_Agabashian
ahrens,NaN,Kurt,Ahrens,1940-04-19,German,"http://en.wikipedia.org/wiki/Kurt_Ahrens,_Jr."
aitken,AIT,Jack,Aitken,1995-09-23,British,http://en.wikipedia.org/wiki/Jack_Aitken
albers,ALB,Christijan,Albers,1979-04-16,Dutch,http://en.wikipedia.org/wiki/Christijan_Albers
albon,ALB,Alexander,Albon,1996-03-23,Thai,http://en.wikipedia.org/wiki/Alexander_Albon
alboreto,NaN,Michele,Alboreto,1956-12-23,Italian,http://en.wikipedia.org/wiki/Michele_Alboreto
alesi,NaN,Jean,Alesi,1964-06-11,French,http://en.wikipedia.org/wiki/Jean_Alesi
alguersuari,ALG,Jaime,Alguersuari,1990-03-23,Spanish,http://en.wikipedia.org/wiki/Jaime_Alguersuari
alliot,NaN,Philippe,Alliot,1954-07-27,French,http://en.wikipedia.org/wiki/Philippe_Alliot
allison,NaN,Cliff,Allison,1932-02-08,British,http://en.wikipedia.org/wiki/Cliff_Allison
alonso,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
amati,NaN,Giovanna,Amati,1959-07-20,Italian,http://en.wikipedia.org/wiki/Giovanna_Amati
george_amick,NaN,George,Amick,1924-10-24,American,http://en.wikipedia.org/wiki/George_Amick
amick,NaN,Red,Amick,1929-01-19,American,http://en.wikipedia.org/wiki/Red_Amick
amon,NaN,Chris,Amon,1943-07-20,New Zealander,http://en.wikipedia.org/wiki/Chris_Amon
anderson,NaN,Bob,Anderson,1931-05-19,British,http://en.wikipedia.org/wiki/Bob_Anderson_(racing_driver)
andersson,NaN,Conny,Andersson,1939-12-28,Swedish,http://en.wikipedia.org/wiki/Conny_Andersson_(racing_driver)
mario_andretti,NaN,Mario,Andretti,1940-02-28,American,http://en.wikipedia.org/wiki/Mario_Andretti
andretti,NaN,Michael,Andretti,1962-10-05,American,http://en.wikipedia.org/wiki/Michael_Andretti
andrews,NaN,Keith,Andrews,1920-06-15,American,http://en.wikipedia.org/wiki/Keith_Andrews_(driver)
apicella,NaN,Marco,Apicella,1965-10-07,Italian,http://en.wikipedia.org/wiki/Marco_Apicella
armi,NaN,Frank,Armi,1918-10-12,American,http://en.wikipedia.org/wiki/Frank_Armi
arnold,NaN,Chuck,Arnold,1926-05-30,American,http://en.wikipedia.org/wiki/Chuck_Arnold
arnoux,NaN,René,Arnoux,1948-07-04,French,http://en.wikipedia.org/wiki/Ren%C3%A9_Arnoux
